FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Total Population,Population Density (Per Sq. Mile),Area (Land),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population: Hispanic or Latino,Total Population: Hispanic or Latino: Two or More Races,Total: Two or More Asian
6037117302,Census Tract 1173.02,"Census Tract 1173.02, Los Angeles County, California",6,37,117302,5335,5335,6734.288,0.792214481,5335,3256,512,14,939,132,362,120,1326,17,53
6037117303,Census Tract 1173.03,"Census Tract 1173.03, Los Angeles County, California",6,37,117303,3578,3578,5146.622,0.69521326,3578,1788,159,2,564,0,951,114,1587,54,12
6037117404,Census Tract 1174.04,"Census Tract 1174.04, Los Angeles County, California",6,37,117404,4729,4729,6936.844,0.681722077,4729,2686,79,10,526,0,1304,124,2097,63,6
6037117405,Census Tract 1174.05,"Census Tract 1174.05, Los Angeles County, California",6,37,117405,3723,3723,47774.54,0.077928546,3723,1249,63,0,105,0,2297,9,3459,9,0
6037117407,Census Tract 1174.07,"Census Tract 1174.07, Los Angeles County, California",6,37,117407,4064,4064,53072.24,0.076574872,4064,718,38,11,89,0,3203,5,3903,0,10
6037117408,Census Tract 1174.08,"Census Tract 1174.08, Los Angeles County, California",6,37,117408,3333,3333,22927.37,0.145372102,3333,1022,338,0,233,0,1678,62,2549,10,0
6037117510,Census Tract 1175.10,"Census Tract 1175.10, Los Angeles County, California",6,37,117510,4340,4340,34001.07,0.127643062,4340,1125,145,0,320,0,2668,82,3649,44,0
6037117520,Census Tract 1175.20,"Census Tract 1175.20, Los Angeles County, California",6,37,117520,4133,4133,33275.89,0.12420405,4133,1030,263,0,303,0,2409,128,3455,123,0
6037117530,Census Tract 1175.30,"Census Tract 1175.30, Los Angeles County, California",6,37,117530,6864,6864,32646.79,0.210250395,6864,2136,122,0,819,62,3612,113,5394,75,17
6037119001,Census Tract 1190.01,"Census Tract 1190.01, Los Angeles County, California",6,37,119001,4329,4329,11028.02,0.392545448,4329,2265,1,8,671,0,1260,124,3161,39,6
6037119002,Census Tract 1190.02,"Census Tract 1190.02, Los Angeles County, California",6,37,119002,8052,8052,12377.9,0.650514211,8052,5063,168,0,643,0,1855,323,6846,261,34
6037119201,Census Tract 1192.01,"Census Tract 1192.01, Los Angeles County, California",6,37,119201,4289,4289,11725.64,0.365779687,4289,2898,1,38,292,0,989,71,3734,66,8
